[2025-12-05 11:22:34] [INFO] 服务器信息保存成功 | 数据: {"id":"107"}
[2025-12-10 17:48:41] [INFO] 服务器信息保存成功 | 数据: {"id":"295"}
[2025-12-10 17:48:42] [INFO] 服务器信息保存成功 | 数据: {"id":"296"}
[2025-12-10 17:48:42] [INFO] 服务器信息保存成功 | 数据: {"id":"297"}
[2025-12-10 17:48:43] [INFO] 服务器信息保存成功 | 数据: {"id":"298"}
[2025-12-10 17:48:43] [INFO] 服务器信息保存成功 | 数据: {"id":"299"}
[2025-12-10 17:48:43] [INFO] 服务器信息保存成功 | 数据: {"id":"300"}
[2025-12-10 17:48:44] [INFO] 服务器信息保存成功 | 数据: {"id":"301"}
[2025-12-10 17:48:45] [INFO] 服务器信息保存成功 | 数据: {"id":"302"}
[2025-12-10 17:48:45] [INFO] 服务器信息保存成功 | 数据: {"id":"303"}
[2025-12-10 17:48:45] [INFO] 服务器信息保存成功 | 数据: {"id":"304"}
[2025-12-10 17:48:46] [INFO] 服务器信息保存成功 | 数据: {"id":"305"}
[2025-12-10 17:48:47] [INFO] 服务器信息保存成功 | 数据: {"id":"306"}
[2025-12-10 17:48:47] [INFO] 服务器信息保存成功 | 数据: {"id":"307"}
[2025-12-10 17:48:47] [INFO] 服务器信息保存成功 | 数据: {"id":"308"}
[2025-12-10 17:48:48] [INFO] 服务器信息保存成功 | 数据: {"id":"309"}
[2025-12-10 17:48:48] [INFO] 服务器信息保存成功 | 数据: {"id":"310"}
[2025-12-10 17:48:49] [INFO] 服务器信息保存成功 | 数据: {"id":"311"}
[2025-12-10 17:48:49] [INFO] 服务器信息保存成功 | 数据: {"id":"312"}
[2025-12-10 17:48:49] [INFO] 服务器信息保存成功 | 数据: {"id":"313"}
[2025-12-10 17:48:50] [INFO] 服务器信息保存成功 | 数据: {"id":"314"}
[2025-12-10 17:48:50] [INFO] 服务器信息保存成功 | 数据: {"id":"315"}
[2025-12-10 17:48:51] [INFO] 服务器信息保存成功 | 数据: {"id":"316"}
[2025-12-10 17:48:51] [INFO] 服务器信息保存成功 | 数据: {"id":"317"}
[2025-12-10 17:48:51] [INFO] 服务器信息保存成功 | 数据: {"id":"318"}
[2025-12-10 17:48:52] [INFO] 服务器信息保存成功 | 数据: {"id":"319"}
[2025-12-10 17:48:52] [INFO] 服务器信息保存成功 | 数据: {"id":"320"}
[2025-12-10 17:48:52] [INFO] 服务器信息保存成功 | 数据: {"id":"321"}
[2025-12-10 17:48:53] [INFO] 服务器信息保存成功 | 数据: {"id":"322"}
[2025-12-10 17:48:53] [INFO] 服务器信息保存成功 | 数据: {"id":"323"}
[2025-12-10 17:48:54] [INFO] 服务器信息保存成功 | 数据: {"id":"324"}
[2025-12-10 17:48:54] [INFO] 服务器信息保存成功 | 数据: {"id":"325"}
[2025-12-10 17:48:55] [INFO] 服务器信息保存成功 | 数据: {"id":"326"}
[2025-12-10 17:48:55] [INFO] 服务器信息保存成功 | 数据: {"id":"327"}
[2025-12-10 17:48:55] [INFO] 服务器信息保存成功 | 数据: {"id":"328"}
[2025-12-10 17:48:56] [INFO] 服务器信息保存成功 | 数据: {"id":"329"}
[2025-12-10 17:48:56] [INFO] 服务器信息保存成功 | 数据: {"id":"330"}
[2025-12-10 17:48:56] [INFO] 服务器信息保存成功 | 数据: {"id":"331"}
[2025-12-10 17:48:57] [INFO] 服务器信息保存成功 | 数据: {"id":"332"}
[2025-12-10 17:48:57] [INFO] 服务器信息保存成功 | 数据: {"id":"333"}
[2025-12-10 17:48:57] [INFO] 服务器信息保存成功 | 数据: {"id":"334"}
[2025-12-10 17:48:58] [INFO] 服务器信息保存成功 | 数据: {"id":"335"}
[2025-12-10 17:48:58] [INFO] 服务器信息保存成功 | 数据: {"id":"336"}
[2025-12-10 17:48:58] [INFO] 服务器信息保存成功 | 数据: {"id":"337"}
[2025-12-10 17:48:59] [INFO] 服务器信息保存成功 | 数据: {"id":"338"}
[2025-12-10 17:48:59] [INFO] 服务器信息保存成功 | 数据: {"id":"339"}
[2025-12-10 17:49:00] [INFO] 服务器信息保存成功 | 数据: {"id":"340"}
[2025-12-10 17:49:01] [INFO] 服务器信息保存成功 | 数据: {"id":"341"}
[2025-12-10 17:49:01] [INFO] 服务器信息保存成功 | 数据: {"id":"342"}
[2025-12-10 17:49:01] [INFO] 服务器信息保存成功 | 数据: {"id":"343"}
[2025-12-10 17:49:02] [INFO] 服务器信息保存成功 | 数据: {"id":"344"}
[2025-12-10 17:49:02] [INFO] 服务器信息保存成功 | 数据: {"id":"345"}
[2025-12-10 17:49:02] [INFO] 服务器信息保存成功 | 数据: {"id":"346"}
[2025-12-10 17:49:03] [INFO] 服务器信息保存成功 | 数据: {"id":"347"}
[2025-12-10 17:49:03] [INFO] 服务器信息保存成功 | 数据: {"id":"348"}
[2025-12-10 17:49:03] [INFO] 服务器信息保存成功 | 数据: {"id":"349"}
[2025-12-10 17:49:04] [INFO] 服务器信息保存成功 | 数据: {"id":"350"}
[2025-12-10 17:49:04] [INFO] 服务器信息保存成功 | 数据: {"id":"351"}
[2025-12-10 17:49:05] [INFO] 服务器信息保存成功 | 数据: {"id":"352"}
[2025-12-10 17:49:05] [INFO] 服务器信息保存成功 | 数据: {"id":"353"}
[2025-12-10 17:49:06] [INFO] 服务器信息保存成功 | 数据: {"id":"354"}
[2025-12-10 17:49:06] [INFO] 服务器信息保存成功 | 数据: {"id":"355"}
[2025-12-10 17:49:06] [INFO] 服务器信息保存成功 | 数据: {"id":"356"}
[2025-12-10 17:49:07] [INFO] 服务器信息保存成功 | 数据: {"id":"357"}
[2025-12-10 17:49:07] [INFO] 服务器信息保存成功 | 数据: {"id":"358"}
[2025-12-10 17:49:07] [INFO] 服务器信息保存成功 | 数据: {"id":"359"}
[2025-12-10 17:49:08] [INFO] 服务器信息保存成功 | 数据: {"id":"360"}
[2025-12-10 17:49:08] [INFO] 服务器信息保存成功 | 数据: {"id":"361"}
[2025-12-10 17:49:08] [INFO] 服务器信息保存成功 | 数据: {"id":"362"}
[2025-12-10 17:49:09] [INFO] 服务器信息保存成功 | 数据: {"id":"363"}
[2025-12-10 17:49:09] [INFO] 服务器信息保存成功 | 数据: {"id":"364"}
[2025-12-10 17:49:09] [INFO] 服务器信息保存成功 | 数据: {"id":"365"}
[2025-12-10 17:49:10] [INFO] 服务器信息保存成功 | 数据: {"id":"366"}
[2025-12-10 17:49:10] [INFO] 服务器信息保存成功 | 数据: {"id":"367"}
[2025-12-10 17:49:10] [INFO] 服务器信息保存成功 | 数据: {"id":"368"}
[2025-12-10 17:49:11] [INFO] 服务器信息保存成功 | 数据: {"id":"369"}
[2025-12-10 17:49:11] [INFO] 服务器信息保存成功 | 数据: {"id":"370"}
[2025-12-10 17:49:12] [INFO] 服务器信息保存成功 | 数据: {"id":"371"}
[2025-12-10 17:49:12] [INFO] 服务器信息保存成功 | 数据: {"id":"372"}
[2025-12-10 17:49:13] [INFO] 服务器信息保存成功 | 数据: {"id":"373"}
[2025-12-10 17:49:13] [INFO] 服务器信息保存成功 | 数据: {"id":"374"}
[2025-12-10 17:49:14] [INFO] 服务器信息保存成功 | 数据: {"id":"375"}
[2025-12-10 17:49:14] [INFO] 服务器信息保存成功 | 数据: {"id":"376"}
[2025-12-10 17:49:15] [INFO] 服务器信息保存成功 | 数据: {"id":"377"}
[2025-12-10 17:49:15] [INFO] 服务器信息保存成功 | 数据: {"id":"378"}
[2025-12-10 17:49:15] [INFO] 服务器信息保存成功 | 数据: {"id":"379"}
[2025-12-10 17:49:16] [INFO] 服务器信息保存成功 | 数据: {"id":"380"}
[2025-12-10 17:49:16] [INFO] 服务器信息保存成功 | 数据: {"id":"381"}
[2025-12-10 17:49:17] [INFO] 服务器信息保存成功 | 数据: {"id":"382"}
[2025-12-10 17:49:17] [INFO] 服务器信息保存成功 | 数据: {"id":"383"}
[2025-12-10 17:49:17] [INFO] 服务器信息保存成功 | 数据: {"id":"384"}
[2025-12-10 17:49:18] [INFO] 服务器信息保存成功 | 数据: {"id":"385"}
[2025-12-10 17:49:18] [INFO] 服务器信息保存成功 | 数据: {"id":"386"}
[2025-12-10 17:49:19] [INFO] 服务器信息保存成功 | 数据: {"id":"387"}
[2025-12-10 17:49:19] [INFO] 服务器信息保存成功 | 数据: {"id":"388"}
[2025-12-10 17:49:19] [INFO] 服务器信息保存成功 | 数据: {"id":"389"}
[2025-12-10 17:49:20] [INFO] 服务器信息保存成功 | 数据: {"id":"390"}
[2025-12-10 17:49:20] [INFO] 服务器信息保存成功 | 数据: {"id":"391"}
[2025-12-10 17:49:20] [INFO] 服务器信息保存成功 | 数据: {"id":"392"}
[2025-12-10 17:49:21] [INFO] 服务器信息保存成功 | 数据: {"id":"393"}
[2025-12-10 17:49:22] [INFO] 服务器信息保存成功 | 数据: {"id":"394"}
[2025-12-10 17:49:22] [INFO] 服务器信息保存成功 | 数据: {"id":"395"}
[2025-12-10 17:49:22] [INFO] 服务器信息保存成功 | 数据: {"id":"396"}
[2025-12-10 17:49:22] [INFO] 服务器信息保存成功 | 数据: {"id":"397"}
[2025-12-10 17:49:23] [INFO] 服务器信息保存成功 | 数据: {"id":"398"}
[2025-12-10 17:49:23] [INFO] 服务器信息保存成功 | 数据: {"id":"399"}
[2025-12-10 17:49:24] [INFO] 服务器信息保存成功 | 数据: {"id":"400"}
[2025-12-10 17:49:24] [INFO] 服务器信息保存成功 | 数据: {"id":"401"}
[2025-12-10 17:49:25] [INFO] 服务器信息保存成功 | 数据: {"id":"402"}
[2025-12-10 17:49:25] [INFO] 服务器信息保存成功 | 数据: {"id":"403"}
[2025-12-10 17:49:25] [INFO] 服务器信息保存成功 | 数据: {"id":"404"}
[2025-12-10 17:49:26] [INFO] 服务器信息保存成功 | 数据: {"id":"405"}
[2025-12-10 17:49:26] [INFO] 服务器信息保存成功 | 数据: {"id":"406"}
[2025-12-10 17:49:27] [INFO] 服务器信息保存成功 | 数据: {"id":"407"}
[2025-12-10 17:49:28] [INFO] 服务器信息保存成功 | 数据: {"id":"408"}
[2025-12-10 17:49:28] [INFO] 服务器信息保存成功 | 数据: {"id":"409"}
[2025-12-10 17:49:28] [INFO] 服务器信息保存成功 | 数据: {"id":"410"}
[2025-12-10 17:49:28] [INFO] 服务器信息保存成功 | 数据: {"id":"411"}
[2025-12-10 17:49:29] [INFO] 服务器信息保存成功 | 数据: {"id":"412"}
[2025-12-10 17:49:29] [INFO] 服务器信息保存成功 | 数据: {"id":"413"}
[2025-12-10 17:49:30] [INFO] 服务器信息保存成功 | 数据: {"id":"414"}
[2025-12-10 17:49:30] [INFO] 服务器信息保存成功 | 数据: {"id":"415"}
[2025-12-10 17:49:30] [INFO] 服务器信息保存成功 | 数据: {"id":"416"}
[2025-12-10 17:49:31] [INFO] 服务器信息保存成功 | 数据: {"id":"417"}
[2025-12-10 17:49:31] [INFO] 服务器信息保存成功 | 数据: {"id":"418"}
[2025-12-10 17:49:32] [INFO] 服务器信息保存成功 | 数据: {"id":"419"}
[2025-12-10 17:49:32] [INFO] 服务器信息保存成功 | 数据: {"id":"420"}
[2025-12-10 17:49:33] [INFO] 服务器信息保存成功 | 数据: {"id":"421"}
[2025-12-10 17:49:33] [INFO] 服务器信息保存成功 | 数据: {"id":"422"}
[2025-12-10 17:49:34] [INFO] 服务器信息保存成功 | 数据: {"id":"423"}
[2025-12-10 17:49:34] [INFO] 服务器信息保存成功 | 数据: {"id":"424"}
[2025-12-10 17:49:35] [INFO] 服务器信息保存成功 | 数据: {"id":"425"}
[2025-12-10 17:49:35] [INFO] 服务器信息保存成功 | 数据: {"id":"426"}
[2025-12-10 17:49:35] [INFO] 服务器信息保存成功 | 数据: {"id":"427"}
[2025-12-10 17:49:36] [INFO] 服务器信息保存成功 | 数据: {"id":"428"}
[2025-12-10 17:49:36] [INFO] 服务器信息保存成功 | 数据: {"id":"429"}
[2025-12-10 17:49:36] [INFO] 服务器信息保存成功 | 数据: {"id":"430"}
[2025-12-10 17:49:37] [INFO] 服务器信息保存成功 | 数据: {"id":"431"}
[2025-12-10 17:49:37] [INFO] 服务器信息保存成功 | 数据: {"id":"432"}
[2025-12-10 17:49:37] [INFO] 服务器信息保存成功 | 数据: {"id":"433"}
[2025-12-10 17:49:38] [INFO] 服务器信息保存成功 | 数据: {"id":"434"}
[2025-12-10 17:49:38] [INFO] 服务器信息保存成功 | 数据: {"id":"435"}
[2025-12-10 17:49:38] [INFO] 服务器信息保存成功 | 数据: {"id":"436"}
[2025-12-10 17:49:39] [INFO] 服务器信息保存成功 | 数据: {"id":"437"}
[2025-12-10 17:49:39] [INFO] 服务器信息保存成功 | 数据: {"id":"438"}
[2025-12-10 17:49:40] [INFO] 服务器信息保存成功 | 数据: {"id":"439"}
[2025-12-10 17:49:40] [INFO] 服务器信息保存成功 | 数据: {"id":"440"}
[2025-12-10 17:49:41] [INFO] 服务器信息保存成功 | 数据: {"id":"441"}
[2025-12-10 17:49:41] [INFO] 服务器信息保存成功 | 数据: {"id":"442"}
[2025-12-10 17:49:42] [INFO] 服务器信息保存成功 | 数据: {"id":"443"}
[2025-12-10 17:49:42] [INFO] 服务器信息保存成功 | 数据: {"id":"444"}
[2025-12-10 17:49:43] [INFO] 服务器信息保存成功 | 数据: {"id":"445"}
[2025-12-10 17:49:43] [INFO] 服务器信息保存成功 | 数据: {"id":"446"}
[2025-12-10 17:49:43] [INFO] 服务器信息保存成功 | 数据: {"id":"447"}
[2025-12-10 17:49:44] [INFO] 服务器信息保存成功 | 数据: {"id":"448"}
[2025-12-10 17:49:44] [INFO] 服务器信息保存成功 | 数据: {"id":"449"}
[2025-12-10 17:49:45] [INFO] 服务器信息保存成功 | 数据: {"id":"450"}
[2025-12-10 17:49:45] [INFO] 服务器信息保存成功 | 数据: {"id":"451"}
[2025-12-10 17:49:45] [INFO] 服务器信息保存成功 | 数据: {"id":"452"}
[2025-12-10 17:49:46] [INFO] 服务器信息保存成功 | 数据: {"id":"453"}
[2025-12-10 17:49:46] [INFO] 服务器信息保存成功 | 数据: {"id":"454"}
[2025-12-10 17:49:46] [INFO] 服务器信息保存成功 | 数据: {"id":"455"}
[2025-12-10 17:49:47] [INFO] 服务器信息保存成功 | 数据: {"id":"456"}
[2025-12-10 17:49:47] [INFO] 服务器信息保存成功 | 数据: {"id":"457"}
[2025-12-10 17:49:47] [INFO] 服务器信息保存成功 | 数据: {"id":"458"}
[2025-12-10 17:49:48] [INFO] 服务器信息保存成功 | 数据: {"id":"459"}
[2025-12-10 17:49:48] [INFO] 服务器信息保存成功 | 数据: {"id":"460"}
[2025-12-10 17:49:49] [INFO] 服务器信息保存成功 | 数据: {"id":"461"}
[2025-12-10 17:49:49] [INFO] 服务器信息保存成功 | 数据: {"id":"462"}
[2025-12-10 17:49:50] [ERROR] 数据重复: 服务器IP/端口/用户名组合已存在 | 数据: {"server_ip":"192.168.206.210","port":3389,"username":"administrator"}
[2025-12-10 17:49:50] [ERROR] 服务器信息保存失败: 该服务器的账号已存在，请检查是否重复录入 | 数据: {"errorCode":"DUPLICATE_ERROR"}
[2025-12-10 17:49:50] [ERROR] 数据重复: 服务器IP/端口/用户名组合已存在 | 数据: {"server_ip":"192.168.206.221","port":3389,"username":"administrator"}
[2025-12-10 17:49:50] [ERROR] 服务器信息保存失败: 该服务器的账号已存在，请检查是否重复录入 | 数据: {"errorCode":"DUPLICATE_ERROR"}
[2025-12-10 17:49:50] [ERROR] 数据重复: 服务器IP/端口/用户名组合已存在 | 数据: {"server_ip":"192.168.201.142","port":3389,"username":"administrator"}
[2025-12-10 17:49:50] [ERROR] 服务器信息保存失败: 该服务器的账号已存在，请检查是否重复录入 | 数据: {"errorCode":"DUPLICATE_ERROR"}
[2025-12-10 17:49:51] [ERROR] 数据重复: 服务器IP/端口/用户名组合已存在 | 数据: {"server_ip":"192.168.201.153","port":3389,"username":"administrator"}
[2025-12-10 17:49:51] [ERROR] 服务器信息保存失败: 该服务器的账号已存在，请检查是否重复录入 | 数据: {"errorCode":"DUPLICATE_ERROR"}
[2025-12-10 17:49:51] [ERROR] 数据重复: 服务器IP/端口/用户名组合已存在 | 数据: {"server_ip":"192.168.206.122","port":3389,"username":"administrator"}
[2025-12-10 17:49:51] [ERROR] 服务器信息保存失败: 该服务器的账号已存在，请检查是否重复录入 | 数据: {"errorCode":"DUPLICATE_ERROR"}
[2025-12-10 17:49:51] [ERROR] 数据重复: 服务器IP/端口/用户名组合已存在 | 数据: {"server_ip":"192.168.201.242","port":3389,"username":"xc"}
[2025-12-10 17:49:51] [ERROR] 服务器信息保存失败: 该服务器的账号已存在，请检查是否重复录入 | 数据: {"errorCode":"DUPLICATE_ERROR"}
[2025-12-10 17:49:52] [ERROR] 数据重复: 服务器IP/端口/用户名组合已存在 | 数据: {"server_ip":"192.168.206.75","port":3389,"username":"layyxdbs"}
[2025-12-10 17:49:52] [ERROR] 服务器信息保存失败: 该服务器的账号已存在，请检查是否重复录入 | 数据: {"errorCode":"DUPLICATE_ERROR"}
[2025-12-10 17:49:52] [ERROR] 数据重复: 服务器IP/端口/用户名组合已存在 | 数据: {"server_ip":"192.168.206.135","port":3389,"username":"administrator"}
[2025-12-10 17:49:52] [ERROR] 服务器信息保存失败: 该服务器的账号已存在，请检查是否重复录入 | 数据: {"errorCode":"DUPLICATE_ERROR"}
[2025-12-10 17:49:52] [ERROR] 数据重复: 服务器IP/端口/用户名组合已存在 | 数据: {"server_ip":"192.168.206.78","port":3389,"username":"administrator"}
[2025-12-10 17:49:52] [ERROR] 服务器信息保存失败: 该服务器的账号已存在，请检查是否重复录入 | 数据: {"errorCode":"DUPLICATE_ERROR"}
[2025-12-10 17:49:52] [ERROR] 数据重复: 服务器IP/端口/用户名组合已存在 | 数据: {"server_ip":"192.168.206.100","port":3389,"username":"administrator"}
[2025-12-10 17:49:52] [ERROR] 服务器信息保存失败: 该服务器的账号已存在，请检查是否重复录入 | 数据: {"errorCode":"DUPLICATE_ERROR"}
[2025-12-10 17:49:53] [ERROR] 数据重复: 服务器IP/端口/用户名组合已存在 | 数据: {"server_ip":"192.168.206.104","port":3389,"username":"administrator"}
[2025-12-10 17:49:53] [ERROR] 服务器信息保存失败: 该服务器的账号已存在，请检查是否重复录入 | 数据: {"errorCode":"DUPLICATE_ERROR"}
[2025-12-10 17:49:53] [ERROR] 数据重复: 服务器IP/端口/用户名组合已存在 | 数据: {"server_ip":"192.168.206.47","port":3389,"username":"administrator"}
[2025-12-10 17:49:53] [ERROR] 服务器信息保存失败: 该服务器的账号已存在，请检查是否重复录入 | 数据: {"errorCode":"DUPLICATE_ERROR"}
[2025-12-10 17:49:53] [ERROR] 数据重复: 服务器IP/端口/用户名组合已存在 | 数据: {"server_ip":"192.168.206.137","port":3389,"username":"administrator"}
[2025-12-10 17:49:53] [ERROR] 服务器信息保存失败: 该服务器的账号已存在，请检查是否重复录入 | 数据: {"errorCode":"DUPLICATE_ERROR"}
[2025-12-10 17:49:54] [ERROR] 数据重复: 服务器IP/端口/用户名组合已存在 | 数据: {"server_ip":"192.168.206.138","port":3389,"username":"administrator"}
[2025-12-10 17:49:54] [ERROR] 服务器信息保存失败: 该服务器的账号已存在，请检查是否重复录入 | 数据: {"errorCode":"DUPLICATE_ERROR"}
[2025-12-10 17:49:54] [ERROR] 数据重复: 服务器IP/端口/用户名组合已存在 | 数据: {"server_ip":"192.168.206.139","port":3389,"username":"administrator"}
[2025-12-10 17:49:54] [ERROR] 服务器信息保存失败: 该服务器的账号已存在，请检查是否重复录入 | 数据: {"errorCode":"DUPLICATE_ERROR"}
[2025-12-10 17:49:54] [ERROR] 数据重复: 服务器IP/端口/用户名组合已存在 | 数据: {"server_ip":"192.168.206.140","port":3389,"username":"administrator"}
[2025-12-10 17:49:54] [ERROR] 服务器信息保存失败: 该服务器的账号已存在，请检查是否重复录入 | 数据: {"errorCode":"DUPLICATE_ERROR"}
[2025-12-10 17:49:55] [ERROR] 数据重复: 服务器IP/端口/用户名组合已存在 | 数据: {"server_ip":"192.168.206.159","port":3389,"username":"administrator"}
[2025-12-10 17:49:55] [ERROR] 服务器信息保存失败: 该服务器的账号已存在，请检查是否重复录入 | 数据: {"errorCode":"DUPLICATE_ERROR"}
[2025-12-10 17:49:55] [ERROR] 数据重复: 服务器IP/端口/用户名组合已存在 | 数据: {"server_ip":"192.168.206.154","port":3389,"username":"administrator"}
[2025-12-10 17:49:55] [ERROR] 服务器信息保存失败: 该服务器的账号已存在，请检查是否重复录入 | 数据: {"errorCode":"DUPLICATE_ERROR"}
[2025-12-10 17:49:56] [ERROR] 数据重复: 服务器IP/端口/用户名组合已存在 | 数据: {"server_ip":"172.168.1.168","port":22,"username":"null"}
[2025-12-10 17:49:56] [ERROR] 服务器信息保存失败: 该服务器的账号已存在，请检查是否重复录入 | 数据: {"errorCode":"DUPLICATE_ERROR"}
[2025-12-10 17:49:56] [ERROR] 数据重复: 服务器IP/端口/用户名组合已存在 | 数据: {"server_ip":"192.168.201.58","port":22,"username":"root"}
[2025-12-10 17:49:56] [ERROR] 服务器信息保存失败: 该服务器的账号已存在，请检查是否重复录入 | 数据: {"errorCode":"DUPLICATE_ERROR"}
[2025-12-10 17:49:56] [ERROR] 数据重复: 服务器IP/端口/用户名组合已存在 | 数据: {"server_ip":"192.168.206.250","port":22,"username":"root"}
[2025-12-10 17:49:56] [ERROR] 服务器信息保存失败: 该服务器的账号已存在，请检查是否重复录入 | 数据: {"errorCode":"DUPLICATE_ERROR"}
[2025-12-10 17:49:56] [ERROR] 数据重复: 服务器IP/端口/用户名组合已存在 | 数据: {"server_ip":"192.168.206.251","port":22,"username":"root"}
[2025-12-10 17:49:56] [ERROR] 服务器信息保存失败: 该服务器的账号已存在，请检查是否重复录入 | 数据: {"errorCode":"DUPLICATE_ERROR"}
[2025-12-10 17:49:57] [ERROR] 数据重复: 服务器IP/端口/用户名组合已存在 | 数据: {"server_ip":"192.168.206.169","port":22,"username":"root"}
[2025-12-10 17:49:57] [ERROR] 服务器信息保存失败: 该服务器的账号已存在，请检查是否重复录入 | 数据: {"errorCode":"DUPLICATE_ERROR"}
[2025-12-10 17:49:57] [ERROR] 数据重复: 服务器IP/端口/用户名组合已存在 | 数据: {"server_ip":"19.168.201.42","port":22,"username":"root"}
[2025-12-10 17:49:57] [ERROR] 服务器信息保存失败: 该服务器的账号已存在，请检查是否重复录入 | 数据: {"errorCode":"DUPLICATE_ERROR"}
[2025-12-10 17:49:57] [ERROR] 数据重复: 服务器IP/端口/用户名组合已存在 | 数据: {"server_ip":"192.168.206.115","port":22,"username":"root"}
[2025-12-10 17:49:57] [ERROR] 服务器信息保存失败: 该服务器的账号已存在，请检查是否重复录入 | 数据: {"errorCode":"DUPLICATE_ERROR"}
[2025-12-10 17:49:58] [ERROR] 数据重复: 服务器IP/端口/用户名组合已存在 | 数据: {"server_ip":"192.168.10.40","port":3389,"username":"administrator"}
[2025-12-10 17:49:58] [ERROR] 服务器信息保存失败: 该服务器的账号已存在，请检查是否重复录入 | 数据: {"errorCode":"DUPLICATE_ERROR"}
[2025-12-10 17:49:58] [ERROR] 数据重复: 服务器IP/端口/用户名组合已存在 | 数据: {"server_ip":"192.168.10.101","port":3389,"username":"administrator"}
[2025-12-10 17:49:58] [ERROR] 服务器信息保存失败: 该服务器的账号已存在，请检查是否重复录入 | 数据: {"errorCode":"DUPLICATE_ERROR"}
[2025-12-10 17:49:58] [ERROR] 数据重复: 服务器IP/端口/用户名组合已存在 | 数据: {"server_ip":"192.168.10.42","port":3389,"username":"Administrator"}
[2025-12-10 17:49:58] [ERROR] 服务器信息保存失败: 该服务器的账号已存在，请检查是否重复录入 | 数据: {"errorCode":"DUPLICATE_ERROR"}
[2025-12-10 17:49:58] [ERROR] 数据重复: 服务器IP/端口/用户名组合已存在 | 数据: {"server_ip":"192.168.10.21","port":3389,"username":"Administrator"}
[2025-12-10 17:49:58] [ERROR] 服务器信息保存失败: 该服务器的账号已存在，请检查是否重复录入 | 数据: {"errorCode":"DUPLICATE_ERROR"}
[2025-12-10 17:49:59] [ERROR] 数据重复: 服务器IP/端口/用户名组合已存在 | 数据: {"server_ip":"192.168.10.27","port":3389,"username":"Administrator"}
